name,count,latitude,longitude
2021S051210020118,326.0,46.924906,-55.39873
2021S051210020119,306.0,46.917378,-55.3941
2021S051210020120,483.0,46.905664,-55.405284
2021S051210020121,25.0,46.878435,-55.722565
2021S051210020122,259.0,46.938157,-55.536228
2021S051210020123,324.0,46.947167,-55.545976
2021S051210020124,155.0,46.886463,-55.66202
2021S051210020125,218.0,46.883009,-55.816828
2021S051210020126,67.0,46.866946,-55.748247
2021S051210020127,254.0,46.953045,-55.94206
2021S051210020128,453.0,47.058628,-55.838722
2021S051210020129,369.0,47.071112,-55.827362
2021S051210020130,463.0,47.070817,-55.812195
2021S051210020131,415.0,47.097222,-55.743382
2021S051210020132,329.0,47.094683,-55.746717
2021S051210020133,309.0,47.097105,-55.75498
2021S051210020134,366.0,47.09856,-55.758392
2021S051210020135,364.0,47.101576,-55.755969
2021S051210020136,369.0,47.099226,-55.764526
2021S051210020137,196.0,47.110296,-55.555771
2021S051210030056,45.0,47.696798,-55.250313
2021S051210030057,115.0,47.637336,-55.211533
2021S051210030058,546.0,47.459551,-55.551405
2021S051210030059,143.0,47.68222,-55.436017
2021S051210030060,348.0,47.524843,-55.414395
2021S051210030061,146.0,47.646542,-55.996196
2021S051210030062,100.0,47.48347,-56.07193
2021S051210030063,404.0,47.556957,-55.926391
2021S051210030064,100.0,47.616332,-55.921627
2021S051210030065,0.0,47.475942,-55.859137
2021S051210030066,329.0,47.484592,-55.823106
2021S051210030067,236.0,47.470721,-55.826523
2021S051210030068,912.0,47.475065,-55.814241
2021S051210030069,74.0,47.578887,-56.734758
2021S051210030070,188.0,47.869199,-55.903072
2021S051210030071,115.0,47.581902,-57.116802
2021S051210030072,388.0,47.5226,-57.387548
2021S051210030073,93.0,47.607298,-57.623879
2021S051210030074,434.0,47.611554,-57.612521
2021S051210030075,300.0,47.615417,-57.613392
2021S051210030076,349.0,47.613676,-57.626811
2021S051210030077,61.0,47.681495,-58.404163
2021S051210030078,38.0,47.609886,-58.725291
2021S051210030079,344.0,47.621197,-58.690342
2021S051210030080,216.0,47.601751,-58.878384
2021S051210030081,324.0,47.603508,-58.878217
2021S051210030082,562.0,47.609852,-59.198864
2021S051210030083,331.0,47.587882,-58.991979
2021S051210030084,228.0,47.593558,-58.968926
2021S051210030085,450.0,47.590663,-59.163059
2021S051210030086,557.0,47.580858,-59.151878
2021S051210030087,1076.0,47.570287,-59.15229
2021S051210030088,328.0,47.583131,-59.171586
2021S051210030089,519.0,47.586604,-59.170898
2021S051210030090,281.0,47.568288,-59.135665
